url,domain,category,barrier,topical_authority,source_of_label
coppin.edu,coppin.edu,Academia,High,third-party,llm_agreement
cornell.edu,cornell.edu,Academia,High,third-party,llm_agreement
corp-japanjobschool.com,corp-japanjobschool.com,Non-media-industry,Mid,third-party,llm_agreement
cpofca.org,cpofca.org,,Mid,third-party,human
cpr.org,cpr.org,Media,Mid,third-party,llm_agreement
cpwva.org,cpwva.org,Party,Primary,primary,llm_agreement
craj.jp,craj.jp,,Primary,primary,human
creators.com,creators.com,Media,Mid,third-party,llm_agreement
crfb.org,crfb.org,Non-media-industry,Mid,third-party,llm_agreement
crisisgroup.org,crisisgroup.org,Non-media-industry,Mid,third-party,llm_agreement
aei.org,aei.org,Non-media-industry,Mid,third-party,llm_agreement
af.mil,af.mil,Government,High,third-party,llm_agreement
afer-fem.org,afer-fem.org,Non-media-industry,Mid,third-party,llm_agreement
afpbb.com,afpbb.com,Media,Mid,third-party,llm_agreement
agclimate.org,agclimate.org,Academia,High,third-party,llm_agreement
agd.org,agd.org,Non-media-industry,Mid,third-party,llm_agreement
agora-web.jp,agora-web.jp,,Mid,third-party,human
gpnj.org,gpnj.org,Party,Primary,primary,llm_agreement
gpny.org,gpny.org,Party,Primary,primary,llm_agreement
gpo.ca,gpo.ca,Party,Primary,primary,llm_agreement
gpus.org,gpus.org,Party,Primary,primary,llm_agreement
gqjapan.jp,gqjapan.jp,Media,Mid,third-party,llm_agreement
grantthornton.com,grantthornton.com,Non-media-industry,Mid,third-party,llm_agreement
gravel2gavel.com,gravel2gavel.com,Non-media-industry,Mid,third-party,llm_agreement
richmond.edu,richmond.edu,Academia,High,third-party,llm_agreement
rief-jp.org,rief-jp.org,Non-media-industry,Mid,third-party,llm_agreement
rieti.go.jp,rieti.go.jp,Government,High,third-party,llm_agreement
rikuaji.com,rikuaji.com,,Mid,third-party,human
riponsociety.org,riponsociety.org,Non-media-industry,Mid,third-party,llm_agreement
rips.or.jp,rips.or.jp,Non-media-industry,Mid,third-party,llm_agreement
ritsumei.ac.jp,ritsumei.ac.jp,Academia,High,third-party,llm_agreement
northwestern.edu,northwestern.edu,Academia,High,third-party,llm_agreement
note.com,note.com,Platform,Low,third-party,llm_agreement
note.jp,note.jp,Platform,Low,third-party,llm_agreement
notus.org,notus.org,,Mid,third-party,human
novaramedia.com,novaramedia.com,Media,Mid,third-party,llm_agreement
np-net.co.jp,np-net.co.jp,Non-media-industry,Mid,third-party,llm_agreement
npa.go.jp,npa.go.jp,Government,High,third-party,llm_agreement
greenpartyplatform.org,greenpartyplatform.org,Party,Primary,primary,llm_agreement
greenpartywashington.org,greenpartywashington.org,Party,Primary,primary,llm_agreement
greenpeace.org,greenpeace.org,Non-media-industry,Mid,third-party,llm_agreement
greens.fi,greens.fi,Party,Primary,primary,llm_agreement
greens.scot,greens.scot,Party,Primary,primary,llm_agreement
grokipedia.com,grokipedia.com,Platform,Low,third-party,llm_agreement
groom.com,groom.com,Non-media-industry,Mid,third-party,llm_agreement
kddi-am.com,kddi-am.com,Non-media-industry,Mid,third-party,llm_agreement
keidanren.or.jp,keidanren.or.jp,Non-media-industry,Mid,third-party,llm_agreement
keio.ac.jp,keio.ac.jp,Academia,High,third-party,llm_agreement
keizaireport.com,keizaireport.com,Media,Mid,third-party,llm_agreement
kenpo-net.jp,kenpo-net.jp,Non-media-industry,Mid,third-party,llm_agreement
kensetsunews.com,kensetsunews.com,Media,Mid,third-party,llm_agreement
kepco.co.jp,kepco.co.jp,Non-media-industry,Mid,third-party,llm_agreement
resources.org,resources.org,,Mid,third-party,human
responsiblestatecraft.org,responsiblestatecraft.org,,Mid,third-party,human
restoringamericansvalues.org,restoringamericansvalues.org,Non-media-industry,Mid,third-party,llm_agreement
retail-e.com,retail-e.com,Non-media-industry,Mid,third-party,llm_agreement
reuters.com,reuters.com,Media,Mid,third-party,llm_agreement
rferl.org,rferl.org,Media,Mid,third-party,llm_agreement
rff.org,rff.org,,Mid,third-party,human
apta.com,apta.com,Non-media-industry,Mid,third-party,llm_agreement
arabnews.jp,arabnews.jp,Media,Mid,third-party,llm_agreement
archive.org,archive.org,Platform,Low,third-party,llm_agreement
archive.ph,archive.ph,Platform,Low,third-party,llm_agreement
archives.gov,archives.gov,Government,High,third-party,llm_agreement
ardent.jp,ardent.jp,Non-media-industry,Mid,third-party,llm_agreement
arkdems.org,arkdems.org,Party,Primary,primary,llm_agreement
mississippifreepress.org,mississippifreepress.org,Media,Mid,third-party,llm_agreement
missouri.gop,missouri.gop,Party,Primary,primary,llm_agreement
mitsuichemicals.com,mitsuichemicals.com,Non-media-industry,Mid,third-party,llm_agreement
miwa-3838.jp,miwa-3838.jp,Owned,Low,third-party,llm_agreement
mixonline.jp,mixonline.jp,Media,Mid,third-party,llm_agreement
miyoshiryo.com,miyoshiryo.com,Owned,Low,third-party,llm_agreement
mizudesignjournal.com,mizudesignjournal.com,Media,Mid,third-party,llm_agreement
amazon.co.jp,amazon.co.jp,Non-media-industry,Mid,third-party,llm_agreement
amazonaws.com,amazonaws.com,Non-media-industry,Mid,third-party,llm_agreement
ameblo.jp,ameblo.jp,Platform,Low,third-party,llm_agreement
americanactionforum.org,americanactionforum.org,Non-media-industry,Mid,third-party,llm_agreement
americancompass.org,americancompass.org,Non-media-industry,Mid,third-party,llm_agreement
americanconstitutionparty.com,americanconstitutionparty.com,Party,Primary,primary,llm_agreement
americanimmigrationcouncil.org,americanimmigrationcouncil.org,Non-media-industry,Mid,third-party,llm_agreement
jcp-hokkaido.jp,jcp-hokkaido.jp,Party,Primary,primary,llm_agreement
jcp-kawasaki.gr.jp,jcp-kawasaki.gr.jp,Party,Primary,primary,llm_agreement
jcp-kumamoto.com,jcp-kumamoto.com,Party,Primary,primary,llm_agreement
jcp-kyoto.jp,jcp-kyoto.jp,Party,Primary,primary,llm_agreement
jcp-osaka.jp,jcp-osaka.jp,Party,Primary,primary,llm_agreement
jcp-saitama.jp,jcp-saitama.jp,Party,Primary,primary,llm_agreement
jcp-shiga.com,jcp-shiga.com,Party,Primary,primary,llm_agreement
stat.go.jp,stat.go.jp,Government,High,third-party,llm_agreement
state.gov,state.gov,Government,High,third-party,llm_agreement
statista.com,statista.com,Non-media-industry,Mid,third-party,llm_agreement
stepjob.jp,stepjob.jp,Non-media-industry,Mid,third-party,llm_agreement
sthryk.com,sthryk.com,Owned,Low,third-party,llm_agreement
stimson.org,stimson.org,Non-media-industry,Mid,third-party,llm_agreement
stpub.com,stpub.com,Non-media-industry,Mid,third-party,llm_agreement
zelojapan.com,zelojapan.com,Non-media-industry,Mid,third-party,llm_agreement
zenkyo.jp,zenkyo.jp,Non-media-industry,Mid,third-party,llm_agreement
zenroren.gr.jp,zenroren.gr.jp,Non-media-industry,Mid,third-party,llm_agreement
zenshoren.or.jp,zenshoren.or.jp,Non-media-industry,Mid,third-party,llm_agreement
zeroemi.org,zeroemi.org,Non-media-industry,Mid,third-party,llm_agreement
zinnedproject.org,zinnedproject.org,Non-media-industry,Mid,third-party,llm_agreement
zontausa.org,zontausa.org,Non-media-industry,Mid,third-party,llm_agreement
unrcpd.org,unrcpd.org,Government,High,third-party,llm_agreement
unseen-japan.com,unseen-japan.com,Media,Mid,third-party,llm_agreement
up.com,up.com,Non-media-industry,Mid,third-party,llm_agreement
urban.org,urban.org,Non-media-industry,Mid,third-party,llm_agreement
us-jf.org,us-jf.org,Non-media-industry,Mid,third-party,llm_agreement
usaspending.gov,usaspending.gov,Government,High,third-party,llm_agreement
usatoday.com,usatoday.com,Media,Mid,third-party,llm_agreement
ctnewsjunkie.com,ctnewsjunkie.com,Media,Mid,third-party,llm_agreement
cube-linx.co.jp,cube-linx.co.jp,Non-media-industry,Mid,third-party,llm_agreement
cwla.org,cwla.org,Non-media-industry,Mid,third-party,llm_agreement
cwsl.edu,cwsl.edu,Academia,High,third-party,llm_agreement
cyber.go.jp,cyber.go.jp,Government,High,third-party,llm_agreement
cyberscoop.com,cyberscoop.com,Media,Mid,third-party,llm_agreement
cztv.com,cztv.com,Media,Mid,third-party,llm_agreement
corporate-adviser.com,corporate-adviser.com,Media,Mid,third-party,llm_agreement
countryside-alliance.org,countryside-alliance.org,Non-media-industry,Mid,third-party,llm_agreement
courrier.jp,courrier.jp,Media,Mid,third-party,llm_agreement
courthousenews.com,courthousenews.com,Media,Mid,third-party,llm_agreement
coveringclimatenow.org,coveringclimatenow.org,,Mid,third-party,human
cpgkyoto.jp,cpgkyoto.jp,,Mid,third-party,human
cpifa.org,cpifa.org,Non-media-industry,Mid,third-party,llm_agreement
uscentrist.org,uscentrist.org,,Mid,third-party,human
uscis.gov,uscis.gov,Government,High,third-party,llm_agreement
usconstitution.net,usconstitution.net,Owned,Low,third-party,llm_agreement
usda.gov,usda.gov,Government,High,third-party,llm_agreement
usembassy.gov,usembassy.gov,Government,High,third-party,llm_agreement
usglc.org,usglc.org,Non-media-industry,Mid,third-party,llm_agreement
usnews.com,usnews.com,Media,Mid,third-party,llm_agreement
mizuho-rt.co.jp,mizuho-rt.co.jp,Non-media-industry,Mid,third-party,llm_agreement
mlit.go.jp,mlit.go.jp,Government,High,third-party,llm_agreement
mlstrategies.com,mlstrategies.com,Non-media-industry,Mid,third-party,llm_agreement
mmm-online.com,mmm-online.com,Media,Mid,third-party,llm_agreement
mn.gov,mn.gov,Government,High,third-party,llm_agreement
mngop.com,mngop.com,Party,Primary,primary,llm_agreement
mod.go.jp,mod.go.jp,Government,High,third-party,llm_agreement
jaif.or.jp,jaif.or.jp,Non-media-industry,Mid,third-party,llm_agreement
jalp.jp,jalp.jp,,Mid,third-party,human
jama.or.jp,jama.or.jp,Non-media-industry,Mid,third-party,llm_agreement
jane.or.jp,jane.or.jp,Non-media-industry,Mid,third-party,llm_agreement
japan-clp.jp,japan-clp.jp,Non-media-industry,Mid,third-party,llm_agreement
japan-first.net,japan-first.net,Party,Primary,primary,llm_agreement
japan-forward.com,japan-forward.com,Media,Mid,third-party,llm_agreement
faa.gov,faa.gov,Government,High,third-party,llm_agreement
facebook.com,facebook.com,Platform,Low,third-party,llm_agreement
facinghistory.org,facinghistory.org,Non-media-industry,Mid,third-party,llm_agreement
facta.co.jp,facta.co.jp,Media,Mid,third-party,llm_agreement
factcheck.org,factcheck.org,,Mid,third-party,human
factcheckcenter.jp,factcheckcenter.jp,Non-media-industry,Mid,third-party,llm_agreement
factoryjournal.jp,factoryjournal.jp,Media,Mid,third-party,llm_agreement
japanpt.or.jp,japanpt.or.jp,Non-media-industry,Mid,third-party,llm_agreement
japantax.jp,japantax.jp,Non-media-industry,Mid,third-party,llm_agreement
japantimes.co.jp,japantimes.co.jp,Media,Mid,third-party,llm_agreement
japantoday.com,japantoday.com,Media,Mid,third-party,llm_agreement
japantravel.com,japantravel.com,Non-media-industry,Mid,third-party,llm_agreement
japias.jp,japias.jp,Non-media-industry,Mid,third-party,llm_agreement
jasso.go.jp,jasso.go.jp,Government,High,third-party,llm_agreement
factually.co,factually.co,Media,Mid,third-party,llm_agreement
fc2.com,fc2.com,Platform,Low,third-party,llm_agreement
fcc.gov,fcc.gov,Government,High,third-party,llm_agreement
fdd.org,fdd.org,Non-media-industry,Mid,third-party,llm_agreement
fdiintelligence.com,fdiintelligence.com,Media,Mid,third-party,llm_agreement
fec.gov,fec.gov,Government,High,third-party,llm_agreement
federalnewsnetwork.com,federalnewsnetwork.com,Media,Mid,third-party,llm_agreement
arlingtondemocrats.org,arlingtondemocrats.org,Party,Primary,primary,llm_agreement
artba.org,artba.org,Non-media-industry,Mid,third-party,llm_agreement
asahi.co.jp,asahi.co.jp,Media,Mid,third-party,llm_agreement
asahi.com,asahi.com,Media,Mid,third-party,llm_agreement
asaninst.org,asaninst.org,Non-media-industry,Mid,third-party,llm_agreement
asanosatoshi.com,asanosatoshi.com,Owned,Low,third-party,llm_agreement
ascd.org,ascd.org,,Mid,third-party,human
harvard.edu,harvard.edu,Academia,High,third-party,llm_agreement
harvardpolitics.com,harvardpolitics.com,Media,Mid,third-party,llm_agreement
hatena.ne.jp,hatena.ne.jp,Platform,Low,third-party,llm_agreement
hatenablog.com,hatenablog.com,Platform,Low,third-party,llm_agreement
hatenablog.jp,hatenablog.jp,Platform,Low,third-party,llm_agreement
hayushi.com,hayushi.com,,Mid,third-party,human
healthjournalism.org,healthjournalism.org,Non-media-industry,Mid,third-party,llm_agreement
greemantoomey.com,greemantoomey.com,Non-media-industry,Mid,third-party,llm_agreement
green-transformation.jp,green-transformation.jp,,Mid,third-party,human
greengage.co,greengage.co,Non-media-industry,Mid,third-party,llm_agreement
greenly.earth,greenly.earth,Non-media-industry,Mid,third-party,llm_agreement
greenmaps.us,greenmaps.us,,Mid,third-party,human
greenparty.ca,greenparty.ca,Party,Primary,primary,llm_agreement
greenparty.ie,greenparty.ie,Party,Primary,primary,llm_agreement
org.nz,org.nz,Non-media-industry,Mid,third-party,llm_agreement
org.uk,org.uk,Non-media-industry,Mid,third-party,llm_agreement
osaka.jp,osaka.jp,,Mid,third-party,human
osaka.lg.jp,osaka.lg.jp,Government,High,third-party,llm_agreement
osakagas.co.jp,osakagas.co.jp,Non-media-industry,Mid,third-party,llm_agreement
osu.edu,osu.edu,Academia,High,third-party,llm_agreement
otokitashun.com,otokitashun.com,Owned,Low,third-party,llm_agreement
stripes.com,stripes.com,Media,Mid,third-party,llm_agreement
strongtowns.org,strongtowns.org,Non-media-industry,Mid,third-party,llm_agreement
study.com,study.com,Non-media-industry,Mid,third-party,llm_agreement
sub.jp,sub.jp,,Mid,third-party,human
substack.com,substack.com,Platform,Low,third-party,llm_agreement
sullcrom.com,sullcrom.com,Non-media-industry,Mid,third-party,llm_agreement
sustech-inc.co.jp,sustech-inc.co.jp,Non-media-industry,Mid,third-party,llm_agreement
gruene.de,gruene.de,Party,Primary,primary,llm_agreement
gunben.or.jp,gunben.or.jp,Non-media-industry,Mid,third-party,llm_agreement
gxa.go.jp,gxa.go.jp,Government,High,third-party,llm_agreement
gyosei-tominaga.com,gyosei-tominaga.com,Owned,Low,third-party,llm_agreement
gyoukaku.go.jp,gyoukaku.go.jp,Government,High,third-party,llm_agreement
gzeromedia.com,gzeromedia.com,Media,Mid,third-party,llm_agreement
harmonywithnatureun.org,harmonywithnatureun.org,Government,High,third-party,llm_agreement
minpo.online,minpo.online,,Mid,third-party,human
minshin.or.jp,minshin.or.jp,Party,Primary,primary,llm_agreement
mint-moon.net,mint-moon.net,Owned,Low,third-party,llm_agreement
mintz.com,mintz.com,Non-media-industry,Mid,third-party,llm_agreement
miraiku-office.com,miraiku-office.com,Non-media-industry,Mid,third-party,llm_agreement
mises.org,mises.org,,Mid,third-party,human
mississippidemocrats.org,mississippidemocrats.org,Party,Primary,primary,llm_agreement
o0o0.jp,o0o0.jp,Owned,Low,third-party,llm_agreement
oanda.jp,oanda.jp,Non-media-industry,Mid,third-party,llm_agreement
obc.co.jp,obc.co.jp,Non-media-industry,Mid,third-party,llm_agreement
oda-nagoya.com,oda-nagoya.com,,Mid,third-party,human
oecd.org,oecd.org,Government,High,third-party,llm_agreement
oilandgaswatch.org,oilandgaswatch.org,Non-media-industry,Mid,third-party,llm_agreement
okinawatimes.co.jp,okinawatimes.co.jp,Media,Mid,third-party,llm_agreement
japan-indepth.jp,japan-indepth.jp,Media,Mid,third-party,llm_agreement
japan-workers.com,japan-workers.com,,Mid,third-party,human
japanchoice.jp,japanchoice.jp,Non-media-industry,Mid,third-party,llm_agreement
japaneselawtranslation.go.jp,japaneselawtranslation.go.jp,Government,High,third-party,llm_agreement
japanknowledge.com,japanknowledge.com,Academia,High,third-party,llm_agreement
japanlivinglife.com,japanlivinglife.com,Owned,Low,third-party,llm_agreement
japanpoliticalhistory.com,japanpoliticalhistory.com,Owned,Low,third-party,llm_agreement
moeasia.net,moeasia.net,,Mid,third-party,human
mof.go.jp,mof.go.jp,Government,High,third-party,llm_agreement
mofa.go.jp,mofa.go.jp,Government,High,third-party,llm_agreement
moj.go.jp,moj.go.jp,Government,High,third-party,llm_agreement
mondaq.com,mondaq.com,,Mid,third-party,human
monetary.org,monetary.org,Non-media-industry,Mid,third-party,llm_agreement
money-bu-jpx.com,money-bu-jpx.com,Non-media-industry,Mid,third-party,llm_agreement
jbic.go.jp,jbic.go.jp,Government,High,third-party,llm_agreement
jcer.or.jp,jcer.or.jp,,Mid,third-party,human
jclu.org,jclu.org,Non-media-industry,Mid,third-party,llm_agreement
jcp-amagasaki.org,jcp-amagasaki.org,Party,Primary,primary,llm_agreement
jcp-eco.net,jcp-eco.net,Party,Primary,primary,llm_agreement
jcp-fukuoka.jp,jcp-fukuoka.jp,Party,Primary,primary,llm_agreement
jcp-gifu.jp,jcp-gifu.jp,Party,Primary,primary,llm_agreement
okizono.com,okizono.com,,Mid,third-party,human
okjcp.jp,okjcp.jp,Party,Primary,primary,llm_agreement
okudafumiyo.com,okudafumiyo.com,Owned,Low,third-party,llm_agreement
omfif.org,omfif.org,Non-media-industry,Mid,third-party,llm_agreement
oneosaka.jp,oneosaka.jp,Party,Primary,primary,llm_agreement
onodera-user-run.co.jp,onodera-user-run.co.jp,Non-media-industry,Mid,third-party,llm_agreement
onomichisogo-law.jp,onomichisogo-law.jp,Non-media-industry,Mid,third-party,llm_agreement
actionnetwork.org,actionnetwork.org,Platform,Low,third-party,llm_agreement
activo.jp,activo.jp,Platform,Low,third-party,llm_agreement
acton.org,acton.org,Non-media-industry,Mid,third-party,llm_agreement
adeac.jp,adeac.jp,Academia,High,third-party,llm_agreement
adecco.com,adecco.com,Non-media-industry,Mid,third-party,llm_agreement
advisory.com,advisory.com,Non-media-industry,Mid,third-party,llm_agreement
advocate.com,advocate.com,Media,Mid,third-party,llm_agreement
riversidecountygop.com,riversidecountygop.com,Party,Primary,primary,llm_agreement
rmi.org,rmi.org,Non-media-industry,Mid,third-party,llm_agreement
rockymountainvoice.com,rockymountainvoice.com,Media,Mid,third-party,llm_agreement
rollcall.com,rollcall.com,Media,Mid,third-party,llm_agreement
rollingstone.com,rollingstone.com,Media,Mid,third-party,llm_agreement
rooseveltinstitute.org,rooseveltinstitute.org,Non-media-industry,Mid,third-party,llm_agreement
rosei.jp,rosei.jp,Non-media-industry,Mid,third-party,llm_agreement
ryukyushimpo.jp,ryukyushimpo.jp,Media,Mid,third-party,llm_agreement
s-newscommons.com,s-newscommons.com,Media,Mid,third-party,llm_agreement
s-sugimura.com,s-sugimura.com,Owned,Low,third-party,llm_agreement
saferoutespartnership.org,saferoutespartnership.org,Non-media-industry,Mid,third-party,llm_agreement
sagepub.com,sagepub.com,Academia,High,third-party,llm_agreement
saiben.or.jp,saiben.or.jp,Non-media-industry,Mid,third-party,llm_agreement
saiene.or.jp,saiene.or.jp,,Mid,third-party,human
crjapan.org,crjapan.org,,Mid,third-party,human
crx7601.com,crx7601.com,Owned,Low,third-party,llm_agreement
csis.org,csis.org,Non-media-industry,Mid,third-party,llm_agreement
csmonitor.com,csmonitor.com,Media,Mid,third-party,llm_agreement
cssn.cn,cssn.cn,Academia,High,third-party,llm_agreement
cssn.org,cssn.org,Academia,High,third-party,llm_agreement
ctdems.org,ctdems.org,Party,Primary,primary,llm_agreement
executivegov.com,executivegov.com,Media,Mid,third-party,llm_agreement
expact.jp,expact.jp,Non-media-industry,Mid,third-party,llm_agreement
exploringsocialism.com,exploringsocialism.com,,Mid,third-party,human
expressnews.com,expressnews.com,Media,Mid,third-party,llm_agreement
ey.com,ey.com,Non-media-industry,Mid,third-party,llm_agreement
f-bengoshikai.com,f-bengoshikai.com,Non-media-industry,Mid,third-party,llm_agreement
f-ishin.jp,f-ishin.jp,Party,Primary,primary,llm_agreement
tsukuba.ac.jp,tsukuba.ac.jp,Academia,High,third-party,llm_agreement
tv-asahi.co.jp,tv-asahi.co.jp,Media,Mid,third-party,llm_agreement
tv-tokyo.co.jp,tv-tokyo.co.jp,Media,Mid,third-party,llm_agreement
twitter.com,twitter.com,Platform,Low,third-party,llm_agreement
u-power.jp,u-power.jp,Non-media-industry,Mid,third-party,llm_agreement
u-tokyo.ac.jp,u-tokyo.ac.jp,Academia,High,third-party,llm_agreement
u-toyama.ac.jp,u-toyama.ac.jp,Academia,High,third-party,llm_agreement
akamine-seiken.jp,akamine-seiken.jp,,Mid,third-party,human
akingump.com,akingump.com,Non-media-industry,Mid,third-party,llm_agreement
akira310.com,akira310.com,Owned,Low,third-party,llm_agreement
alabamapolicy.org,alabamapolicy.org,Non-media-industry,Mid,third-party,llm_agreement
alaskalp.org,alaskalp.org,,Mid,third-party,human
alec.org,alec.org,Non-media-industry,Mid,third-party,llm_agreement
alexnowrasteh.com,alexnowrasteh.com,Owned,Low,third-party,llm_agreement
ontheissues.org,ontheissues.org,,Mid,third-party,human
openborders.info,openborders.info,Non-media-industry,Mid,third-party,llm_agreement
openmarketsinstitute.org,openmarketsinstitute.org,Non-media-industry,Mid,third-party,llm_agreement
openmedia.org,openmedia.org,Non-media-industry,Mid,third-party,llm_agreement
opensecrets.org,opensecrets.org,Non-media-industry,Mid,third-party,llm_agreement
org.au,org.au,Non-media-industry,Mid,third-party,llm_agreement
org.cn,org.cn,Non-media-industry,Mid,third-party,llm_agreement
carolinajournal.com,carolinajournal.com,Media,Mid,third-party,llm_agreement
cas.go.jp,cas.go.jp,Government,High,third-party,llm_agreement
casa1988.or.jp,casa1988.or.jp,Non-media-industry,Mid,third-party,llm_agreement
catherinerowett.org,catherinerowett.org,Owned,Low,third-party,llm_agreement
cato-unbound.org,cato-unbound.org,,Mid,third-party,human
cato.org,cato.org,Non-media-industry,Mid,third-party,llm_agreement
cbc.ca,cbc.ca,Media,Mid,third-party,llm_agreement
koubo.jp,koubo.jp,,Mid,third-party,human
koureisha-jutaku.com,koureisha-jutaku.com,,Mid,third-party,human
kpmg.com,kpmg.com,Non-media-industry,Mid,third-party,llm_agreement
kqed.org,kqed.org,Media,Mid,third-party,llm_agreement
ksat.com,ksat.com,Media,Mid,third-party,llm_agreement
ktv.jp,ktv.jp,Media,Mid,third-party,llm_agreement
kumanichi.com,kumanichi.com,Media,Mid,third-party,llm_agreement
